REGION,AREA PROTEGIDA,INSTRUMENTO DE CREACION,AÑO,HECTAREAS,PROVINCIA,LAT,LAT.GMS,LONG,LONG.GMS,ECORREGION,CAT.INTERNACIONAL,VISITANTES ANUALES,ESPECIES REGISTRADAS,ANIMALES,BACTERIAS,HONGOS,PLANTAS
PATA AUSTRAL,Parque Interjurisdiccional Marino Isla Pingüino,Ley Nacional 26.818/12,2012,159.53,Santa Cruz,-48.15,48° 8' 60'' S,-65.94458,65° 56' 40.488'' W,Mar Argentino,,,10,10,,,
PATA AUSTRAL,Parque Interjurisdiccional Marino Makenke,Ley Nacional 26.817/12,2012,72.66,Santa Cruz,-49.54806,49° 32' 53.016'' S,-67.62472,67° 37' 28.992'' W,Mar Argentino,,,9,9,,,
PATA AUSTRAL,Parque Nacional Bosques Petrificados de Jaramillo,Decreto Nacional 7.252/54 - Ley Nacional 26.825/12,1954,78.54,Santa Cruz,-47.69349,47° 41' 36.564'' S,-68.06604,68° 3' 57.744'' W,Estepa Patagónica,,3729,362,160,,,202
PATA AUSTRAL,Parque Nacional Los Glaciares,Decreto Nacional 105.433/37,1937,731.93,Santa Cruz,-49.9469,49° 56' 48.84'' S,-73.15797,73° 9' 28.692'' W,"Bosques Patagónicos, Estepa Patagónica",Sitio de Patrimonio Mundial,693584,978,215,3,21,739
PATA AUSTRAL,Parque Nacional Monte León,Ley Nacional 25.945/04,2004,62.17,Santa Cruz,-50.31667,50° 19' 0.012'' S,-68.97287,68° 58' 22.332'' W,Estepa Patagónica,,7474,376,158,,,218
PATA AUSTRAL,Parque Nacional Patagonia,"Ley Nacional y Decreto Nacional L.N. 27.081/15, D.N. 838/18",2015,106.42,Santa Cruz,-47.15918,47° 9' 33.048'' S,-71.31701,71° 19' 1.236'' W,Estepa Patagónica,,,269,61,,,208
PATA AUSTRAL,Parque Nacional Perito Moreno,Decreto Nacional 105.433/37,1937,142.12,Santa Cruz,-47.88697,47° 53' 13.092'' S,-72.25014,72° 15' 0.504'' W,"Bosques Patagónicos, Estepa Patagónica",,918,589,191,,1,397
PATA AUSTRAL,Parque Nacional Tierra del Fuego,Ley Nacional 15.554/60,1960,68.91,Tierra Del Fuego,-54.64226,54° 38' 32.136'' S,-68.48597,68° 29' 9.492'' W,Bosques Patagónicos,,167535,661,215,,55,391
PATA AUSTRAL,Reserva Natural Silvestre Isla de los Estados y Archipiélago de Año Nuevo,Decreto Nacional 929/16,2016,52.78,Tierra Del Fuego,-54.76715,54° 46' 1.74'' S,-64.27798,64° 16' 40.728'' W,Bosques Patagónicos,,,,,,,
PATA NORTE,Parque Interjurisdiccional Marino Costero Patagonia Austral,Ley Nacional 26.446/09,2009,103.57,Chubut,-45.07224,45° 4' 20.064'' S,-66.09692,66° 5' 48.912'' W,"Estepa Patagónica, Mar Argentino",Reserva de Biósfera,,98,79,,,19
PATA NORTE,Parque Nacional Lago Puelo,Decreto Nacional Decreto Nac. 105.433/37 - Ley Nac. 19.292/71,1937,27.67,Chubut,-42.17903,42° 10' 44.508'' S,-71.68728,71° 41' 14.208'' W,Bosques Patagónicos,Reserva de Biósfera,43701,1159,260,,124,775
PATA NORTE,Parque Nacional Laguna Blanca,Decreto-Ley Nacional 63.601/40,1940,11.25,Neuquen,-39.03034,39° 1' 49.224'' S,-70.35218,70° 21' 7.848'' W,Estepa Patagónica,Sitio RAMSAR,3215,663,236,1,,426
PATA NORTE,Parque Nacional Lanín,Decreto Nacional 105.433/37,1937,412.00,Neuquen,-39.85001,39° 51' 0.036'' S,-71.43103,71° 25' 51.708'' W,Bosques Patagónicos,Reserva de Biósfera,110788,1285,435,7,126,717
PATA NORTE,Parque Nacional Lihué Calel,Decreto Nacional 609/76,1976,32.51,La Pampa,-37.93488,37° 56' 5.568'' S,-65.60471,65° 36' 16.956'' W,Monte de Llanuras y Mesetas,,5399,791,323,,2,466
PATA NORTE,Parque Nacional Los Alerces,Decreto Nacional 105.433/37,1937,259.82,Chubut,-42.84453,42° 50' 40.308'' S,-71.83818,71° 50' 17.448'' W,Bosques Patagónicos,"Reserva de Biósfera, Sitio de Patrimonio Mundial",137362,1144,378,17,149,598
PATA NORTE,Parque Nacional Los Arrayanes,Ley Nacional 19.292/71,1971,1796.00,Neuquen,-40.82941,40° 49' 45.876'' S,-71.62874,71° 37' 43.464'' W,Bosques Patagónicos,Reserva de Biósfera,,415,154,,108,153
PATA NORTE,Parque Nacional Nahuel Huapi,Ley Nacional 12.103/34,1934,717.26,Rio Negro,-40.95411,40° 57' 14.796'' S,-71.53639,71° 32' 11.004'' W,"Bosques Patagónicos, Estepa Patagónica",Reserva de Biósfera,399758,2963,702,150,703,1408
SNAMP,Área Marina Protegida Namuncurá - Banco Burdwood I,Decreto Nacional 888/19,2013,2800000.00,Mar Argentino,-54.33145,54° 19' 53.22'' S,-59.23917,59° 14' 21.012'' W,Mar Argentino,,,45,44,,,1
SNAMP,Área Marina Protegida Namuncurá - Banco Burdwood II,Ley Nacional 27.490/18,2018,3233630.00,Mar Argentino,-55.18245,55° 10' 56.82'' S,-59.80421,59° 48' 15.156'' W,Mar Argentino,,,73,72,,,1
SNAMP,Área Marina Protegida Yaganes,Ley Nacional 27.490/18,2018,6883431.00,Mar Argentino,-56.93301,56° 55' 58.836'' S,-65.4582,65° 27' 29.52'' W,Mar Argentino,,,45,45,,,
